Id,Language_knows
43,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL
44,HTML/CSS;JavaScript;Node.js;Python;R;SQL;TypeScript
45,C#;C++;JavaScript;PowerShell;SQL;TypeScript
46,Java
47,C++;SQL
48,C;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
49,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA
50,C#;HTML/CSS;JavaScript;TypeScript
51,HTML/CSS;JavaScript;Node.js;Python;TypeScript
52,PowerShell
53,R
54,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript
55,Java;Kotlin;Swift
56,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL
57,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
58,Bash/Shell;C;JavaScript;Python;SQL
59,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
60,Python;R;VBA
61,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA
62,HTML/CSS;JavaScript;Node.js
63,HTML/CSS;JavaScript;Python
64,HTML/CSS;PHP;Python;SQL
65,HTML/CSS;Java;JavaScript;Matlab;Python;R;Scala;SQL
66,C#;VBA
67,Bash/Shell;JavaScript;Node.js;TypeScript
68,HTML/CSS;JavaScript;SQL;TypeScript
69,Bash/Shell;C;C++;Matlab;PowerShell;Python
70,Go;HTML/CSS;Java;JavaScript;SQL
71,HTML/CSS;JavaScript
72,Assembly;Bash/Shell;C;C#;PHP;PowerShell;Python;SQL
73,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
74,HTML/CSS;JavaScript;PHP
75,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript
76,HTML/CSS;Python;R
77,Kotlin
78,C#;Go;Java;Python
79,HTML/CSS;JavaScript;Node.js
80,Bash/Shell;Java;JavaScript;PHP;Python
81,Dart;HTML/CSS;JavaScript;PHP;TypeScript
82,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
83,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript
84,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript
85,C#;SQL;TypeScript
86,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python
87,C#;Clojure;Go;JavaScript;Python;SQL
88,C;C++;Java;JavaScript;Node.js;Python;R
89,JavaScript;Node.js;Python
90,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript
91,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript
92,HTML/CSS;Objective-C;Swift
93,Perl
94,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
95,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python
96,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
97,Scala
98,Dart;JavaScript;Node.js
99,C#;HTML/CSS;JavaScript;PHP
100,Python
101,C++;Go;Python;TypeScript
102,HTML/CSS;JavaScript;PHP;SQL
103,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
104,Go;JavaScript;Node.js;PHP;TypeScript
105,Java;JavaScript
106,HTML/CSS;Java;JavaScript;Node.js;Python;SQL
107,HTML/CSS;JavaScript;Python
108,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
109,Assembly;C;C++
110,Dart;HTML/CSS;Python
111,Go;Java;Node.js;PHP;Python
112,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA
113,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;Python
114,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
115,HTML/CSS;JavaScript;Node.js
116,C#;HTML/CSS;JavaScript;SQL;VBA
117,HTML/CSS;JavaScript;Node.js;Python
118,Java;Kotlin;Swift
119,HTML/CSS;JavaScript;Node.js;Python;TypeScript
120,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python
121,Python
122,Bash/Shell;Python
123,Kotlin;Objective-C;SQL;Swift
124,JavaScript;Node.js;PHP;PowerShell;Python;SQL
125,C;Dart;JavaScript
126,Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript
127,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL
128,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python
129,C#;PowerShell;SQL
130,C
131,APL;C;HTML/CSS;JavaScript;LISP
132,Go;JavaScript;Node.js
133,Bash/Shell;C;HTML/CSS;Java;JavaScript;Node.js;TypeScript
134,C#;Java;JavaScript;Python;SQL
135,HTML/CSS;JavaScript;R;SQL
136,Go;JavaScript;Python;SQL;TypeScript;VBA
137,C#;Delphi;JavaScript;Node.js;TypeScript
138,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Perl;Python
139,C;C++;Python;SQL
140,JavaScript;Swift;TypeScript
141,C#;F#;SQL
142,Bash/Shell;Dart;Go;HTML/CSS;JavaScript;Python;Swift
143,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript
144,C++;Java;Kotlin;Objective-C;Swift
145,C++;Python
146,SQL
147,HTML/CSS;Java;JavaScript;Node.js;Rust
148,JavaScript;Node.js;PHP;TypeScript
149,C#;Java;Python
150,C#;HTML/CSS;PowerShell;SQL
151,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript
152,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL
153,C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL
154,JavaScript;Python;SQL
155,C++;Go;JavaScript;Node.js;Python;TypeScript
156,HTML/CSS;Java;JavaScript;Python;Ruby;SQL
157,C#;HTML/CSS;JavaScript;PowerShell;TypeScript
158,Assembly;Python
159,Matlab
160,Bash/Shell;HTML/CSS;JavaScript;PHP
161,C#
162,Bash/Shell;C;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
163,C#;Go
164,JavaScript;PHP;SQL
165,HTML/CSS;Java;JavaScript;Node.js;Perl;PHP;PowerShell;Python;Rust;SQL;TypeScript
166,HTML/CSS;JavaScript;Python;SQL
167,Dart;HTML/CSS;Python;SQL
168,Python;R
169,Go;JavaScript;PHP
170,C;C#;C++;Java;Kotlin;PHP;SQL
171,Java;JavaScript;Node.js;TypeScript
172,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
173,Go;JavaScript;Python;SQL
174,C#;JavaScript
175,Groovy;Java;Kotlin
176,Java;JavaScript;SQL
177,C;C++;HTML/CSS;JavaScript
178,Bash/Shell;Python;Scala;SQL
179,C;C++;Delphi;Go;HTML/CSS;Perl;Python;R;Ruby;Rust
180,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
181,C#;HTML/CSS;JavaScript;PHP;SQL
182,Java;TypeScript
183,HTML/CSS;Java;JavaScript;Node.js;TypeScript
184,C;C#;C++;HTML/CSS;JavaScript;SQL;TypeScript
185,Assembly;C#;C++;HTML/CSS;JavaScript;Python;R;TypeScript
186,C;Dart;HTML/CSS;Java;Python
187,C;C++;JavaScript;Objective-C;Python;Swift;TypeScript
188,HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL
189,Bash/Shell;Go;HTML/CSS;JavaScript;Ruby;SQL;TypeScript
190,HTML/CSS;Java
191,C#;HTML/CSS;JavaScript;SQL
192,HTML/CSS;JavaScript;Python
193,Bash/Shell;C;C++;Python
194,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
195,JavaScript;Python
196,C#;HTML/CSS;SQL;TypeScript
197,Java;Kotlin;Python;Scala
198,C#;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;VBA
199,HTML/CSS;Java;JavaScript;Python;SQL
200,C#
201,HTML/CSS;JavaScript;Node.js
202,C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;Python;R;SQL;TypeScript
203,HTML/CSS;Java;JavaScript;SQL
204,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL
205,C#;HTML/CSS;Matlab;Python;R;SQL
206,Bash/Shell;Java;JavaScript;Node.js;Python;TypeScript
207,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;SQL;Swift;TypeScript
208,Bash/Shell;C;C++
209,C#;Java;Python
210,Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;Python;Rust
211,Dart
212,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
213,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Objective-C;PHP;SQL
214,C#;Dart;Kotlin;Python
215,HTML/CSS;Java;JavaScript;Node.js;Python
216,HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript
217,HTML/CSS;PowerShell
218,Bash/Shell;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;Ruby;TypeScript
219,Haskell;HTML/CSS;JavaScript;Node.js;TypeScript
220,Python
221,C#;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
222,Java;Kotlin
223,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript
224,C;C#;C++;HTML/CSS;JavaScript;PowerShell;TypeScript;VBA
225,C;C#;C++;HTML/CSS;Java;JavaScript;PHP;SQL
226,HTML/CSS;JavaScript;TypeScript
227,JavaScript;Node.js;Python;SQL
228,R
229,HTML/CSS;Java;JavaScript;Node.js;SQL
230,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript
231,Dart;HTML/CSS;JavaScript;Node.js;PHP
232,HTML/CSS;JavaScript;TypeScript
233,HTML/CSS;JavaScript;Node.js;Rust;TypeScript
234,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript
235,Bash/Shell;C;HTML/CSS;PHP
236,C#;HTML/CSS;Java;JavaScript;Objective-C;PowerShell;SQL;Swift;TypeScript
237,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Ruby;SQL;TypeScript;VBA
238,Java;SQL
239,C#;C++
240,Bash/Shell;Objective-C;Swift
241,C;C#;C++;HTML/CSS;Node.js;SQL
242,C#
243,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python
244,C;C++;HTML/CSS;Java;JavaScript;Matlab;Perl;Python;R;SQL
245,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
246,Python;SQL
247,HTML/CSS;Python
248,R
249,C#;HTML/CSS;JavaScript;PowerShell;SQL
250,HTML/CSS;JavaScript;Node.js;PHP
251,Bash/Shell;C;C#;C++;Go;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
252,C#;HTML/CSS;Java;SQL;VBA
253,C;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript
254,HTML/CSS;Java;PHP
255,HTML/CSS;JavaScript;Node.js;TypeScript
256,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
257,Bash/Shell;C;Java;Kotlin;Perl;PowerShell;Python
258,HTML/CSS;JavaScript;Node.js;Objective-C;Swift;TypeScript
259,Bash/Shell;C;C++;Java;JavaScript;Node.js;PHP;Python;Ruby;SQL;TypeScript
260,C#;HTML/CSS;SQL;TypeScript
261,HTML/CSS;JavaScript;PHP;Python;Rust;SQL
262,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
263,HTML/CSS;Java;JavaScript;Node.js;SQL
264,Bash/Shell;Python
265,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript
266,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
267,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
268,Bash/Shell;C;C#;C++;Go;Groovy;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
269,C;HTML/CSS;JavaScript;Node.js;TypeScript
270,C;C++;Java;Python
271,C#;HTML/CSS;JavaScript;SQL;VBA
272,Bash/Shell;Go;HTML/CSS;JavaScript;SQL;TypeScript
273,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;Python;SQL
274,Bash/Shell;C;C++;JavaScript;Python
275,Java;Scala
276,C#;Dart;Go;Java;JavaScript;Matlab;SQL
277,HTML/CSS;JavaScript;PHP
278,Bash/Shell;HTML/CSS;JavaScript;Node.js;Perl;PHP;Python;Ruby;SQL
279,HTML/CSS;Java;Python
280,HTML/CSS;JavaScript;Python
281,Bash/Shell;Perl;PowerShell;VBA
282,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL
283,Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Perl;Python;SQL
284,C;Delphi;Java
285,HTML/CSS;JavaScript;Node.js;Python;Ruby;SQL;TypeScript
286,HTML/CSS;JavaScript;PHP;SQL
287,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Python
288,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;SQL
289,C++;Kotlin
290,C++;Java;JavaScript;Python
291,C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL
292,Dart;HTML/CSS;JavaScript;TypeScript
293,C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL
294,Bash/Shell;PHP;R;SQL
295,Bash/Shell;HTML/CSS;PowerShell;Python;SQL
296,Kotlin;Python
297,Assembly;Bash/Shell;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Matlab;PHP;Python;R;SQL;TypeScript;VBA
298,Swift
299,C;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
300,HTML/CSS;JavaScript;Node.js;SQL;TypeScript
301,C#;JavaScript;Kotlin;TypeScript
302,PHP
303,Bash/Shell;C;Delphi;HTML/CSS;JavaScript;Node.js;PHP;Python;Rust;SQL;TypeScript
304,HTML/CSS;JavaScript;TypeScript
305,Bash/Shell;Java;SQL
306,HTML/CSS;JavaScript;Node.js;PHP
307,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
308,Matlab;Python;Ruby
309,HTML/CSS;JavaScript;Node.js;PHP;SQL
310,Haskell;Java;JavaScript;Python;Rust;Scala
311,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
312,JavaScript;Kotlin
313,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;TypeScript
314,C#;HTML/CSS;TypeScript
315,Java;JavaScript;Node.js;PHP
316,C;Delphi;HTML/CSS;JavaScript;PowerShell;Python;SQL
317,Bash/Shell;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA
318,C;C++;Dart;Java;JavaScript;Kotlin;Node.js;R
319,Bash/Shell;C;C#;HTML/CSS;JavaScript;Node.js;Python
320,Bash/Shell;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript
321,C;Python;Rust
322,Assembly;C;C#;VBA
323,C#;C++;JavaScript;SQL
324,Bash/Shell;C#;HTML/CSS;PHP;SQL;VBA
325,HTML/CSS;JavaScript;Node.js
326,Java;Python
327,Assembly;Bash/Shell;C;Go;Python;Rust
328,Bash/Shell;Dart;HTML/CSS;JavaScript;Python
329,Bash/Shell;HTML/CSS;Java;JavaScript;Python
330,Bash/Shell;C#;Java;Kotlin;SQL;VBA
331,C#;PowerShell;Python
332,Python
333,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;Scala;SQL;TypeScript
334,C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript
335,C;C++;HTML/CSS;JavaScript;Python
336,HTML/CSS;JavaScript;PHP;SQL
337,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;VBA
338,C;C#;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Swift
339,Bash/Shell;C#;Go;Groovy;HTML/CSS;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript
340,Objective-C;Ruby;Swift
341,HTML/CSS;JavaScript;TypeScript
342,C#;HTML/CSS;JavaScript;Kotlin;Node.js;Objective-C;PowerShell;SQL;TypeScript
343,HTML/CSS;JavaScript
344,C#;HTML/CSS;JavaScript;SQL
345,C;C++;PHP;Python
346,Bash/Shell;HTML/CSS;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript
347,C#;HTML/CSS;JavaScript
348,HTML/CSS;JavaScript;Node.js;Swift
349,C++;Java;JavaScript;Kotlin;Python;SQL
350,Bash/Shell;HTML/CSS;Java;Rust;SQL
351,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;TypeScript
352,C#;HTML/CSS;JavaScript
353,Bash/Shell;Python
354,Go
355,HTML/CSS;Node.js;Python;TypeScript
356,C;C++;HTML/CSS;JavaScript;Julia;Node.js;Python;R;SQL;TypeScript
357,C;C++;HTML/CSS;Java;JavaScript
358,Python
359,LISP;PHP;Python;Scala;SQL
360,Dart;Node.js;Python;SQL;TypeScript
361,HTML/CSS;JavaScript;Node.js;PHP;SQL
362,HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript
363,Bash/Shell;JavaScript;PHP;SQL
364,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;SQL
365,Bash/Shell
366,C++;Elixir;Rust
367,Go;JavaScript;Python;TypeScript
368,C;C++;Java;Matlab;R
369,Python
370,C;Go;HTML/CSS;JavaScript;Node.js;Python;Rust;SQL;TypeScript
371,HTML/CSS;JavaScript;Python;SQL
372,Bash/Shell;C++;HTML/CSS;Java;JavaScript;Matlab;Python;TypeScript
373,C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL
374,JavaScript;Python
375,C#
376,Bash/Shell;Python
377,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript
378,HTML/CSS;JavaScript
379,Bash/Shell;C++;Groovy;Java;Kotlin;Swift
380,Assembly;Bash/Shell;C;C++;PowerShell;Python
381,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;Perl;Python;SQL
382,HTML/CSS;Java;JavaScript;Kotlin;PHP;Swift;TypeScript
383,C;C++;HTML/CSS;JavaScript;Node.js;PHP;SQL
384,Bash/Shell;JavaScript;Python;SQL
385,Dart;Python
386,C++;JavaScript;Node.js;Python;Swift;TypeScript
387,Assembly;Bash/Shell;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL
388,C;C#;C++;Python
389,C;C++;HTML/CSS;Java;JavaScript;Python
390,C;C++;Java;Python
391,HTML/CSS;JavaScript;PHP;Python;SQL
392,Bash/Shell;Python;SQL
393,C;C#;SQL
394,Dart;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
395,HTML/CSS;JavaScript;PHP
396,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
397,Go;Groovy;Java;Kotlin;Python
398,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;SQL
399,Haskell;JavaScript
400,C#
401,C#;HTML/CSS;JavaScript
402,Dart;HTML/CSS;JavaScript;Python
403,C#;C++;HTML/CSS;Python
404,Kotlin
405,C#;HTML/CSS;JavaScript;Node.js
406,Python;Ruby
407,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Objective-C;PHP;Python;R;Ruby;SQL;TypeScript
408,C#;HTML/CSS;JavaScript;SQL
409,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
410,HTML/CSS;Java;JavaScript;SQL;TypeScript
411,HTML/CSS;PHP;SQL
412,Bash/Shell;C;C++;Go;Groovy;Python
413,C;C#;C++;HTML/CSS;JavaScript;Matlab;Node.js;Python;TypeScript
414,C++;PowerShell
415,Bash/Shell;Java;JavaScript;Python;SQL
416,C#;Java
417,C;C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript
418,Assembly;C;C++;Java;Python;Swift
419,Bash/Shell;C;C++;Java;Rust;SQL
420,C#;HTML/CSS;JavaScript;Node.js;TypeScript
421,C;Matlab;Python;Rust;SQL
422,Go
423,Delphi;Java;Swift
424,Java;JavaScript;Python;Scala;SQL
425,Assembly;Haskell;Java;Python;SQL;VBA
426,Assembly;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;Rust;SQL
427,Bash/Shell;Perl;R;SQL
428,C#;Dart;Delphi;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;PowerShell;Python;Ruby;SQL;TypeScript
429,Python
430,C#;C++
431,C#;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;Scala;SQL
432,C;Go;Perl;Python
433,Java;JavaScript;Python;SQL
434,APL;Erlang;Go;Python
435,Bash/Shell;JavaScript;Python;SQL
436,JavaScript;TypeScript
437,JavaScript;Node.js;PHP;Python
438,Python;Rust
439,HTML/CSS;Java;JavaScript
440,Bash/Shell;C;C++;Java;Python
441,C#;HTML/CSS;Java;JavaScript;Node.js;PHP
442,C++;Matlab;Python
443,Elixir;HTML/CSS;JavaScript;Ruby
444,Bash/Shell;JavaScript;Python;SQL
445,Bash/Shell;Python
446,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
447,C#;HTML/CSS;Java;JavaScript;PHP;TypeScript
448,C++;Python
449,C#;JavaScript;Node.js;TypeScript
450,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;Swift
451,HTML/CSS;JavaScript;PHP;SQL
452,Python
453,HTML/CSS;JavaScript;Node.js
454,HTML/CSS;JavaScript;Node.js;TypeScript
455,Groovy;Java;JavaScript;Node.js;SQL;TypeScript
456,C++;HTML/CSS;JavaScript;Kotlin;PHP;SQL
457,C;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
458,C#;C++
459,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript
460,Assembly;Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Matlab;Python;R;SQL;TypeScript
461,Java
462,Go;JavaScript;SQL;TypeScript
463,Bash/Shell;C;C++;HTML/CSS;JavaScript;Node.js;Python;TypeScript
464,HTML/CSS;Java;JavaScript;Node.js;SQL
465,C#;HTML/CSS;Java;JavaScript;Objective-C;SQL;Swift;VBA
466,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;Swift;TypeScript
467,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
468,HTML/CSS;JavaScript;Node.js;TypeScript
469,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Scala;SQL;TypeScript
470,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python
471,C#;HTML/CSS;JavaScript;Node.js;R;Ruby;SQL;TypeScript
472,Bash/Shell;Java;Python;SQL
473,Bash/Shell;Java;JavaScript;Python
474,HTML/CSS;Java;JavaScript;Node.js;SQL
475,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell
476,Bash/Shell;Ruby;SQL
477,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript
478,C#;HTML/CSS;JavaScript;Node.js;TypeScript
479,C++;Java;Python
480,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
481,Assembly;C;C++;Java;Matlab;Python;SQL
482,Bash/Shell;C;HTML/CSS;Java;JavaScript;Python;SQL
483,C;Groovy;Python
484,Bash/Shell;C#;C++;HTML/CSS;JavaScript;Node.js;TypeScript
485,Java;Python;Rust
486,Bash/Shell;JavaScript;Python;SQL
487,Java;Python
488,Bash/Shell;C#;C++;Go;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;VBA
489,C#;C++;Python
490,HTML/CSS;JavaScript;Node.js;TypeScript
491,Bash/Shell;Java;Kotlin;Python;Rust;SQL
492,HTML/CSS;JavaScript;PHP;SQL
493,C#;Groovy;PHP
494,Bash/Shell;Go;JavaScript;Node.js;Python
495,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL
496,Bash/Shell;HTML/CSS;JavaScript;PHP
497,C++;Python;SQL
498,Python
499,C#;HTML/CSS;VBA
500,HTML/CSS;JavaScript;TypeScript
501,C++;Python;SQL
502,Bash/Shell;C;HTML/CSS;JavaScript;Node.js;Python
503,Bash/Shell;C++
504,C++;Dart;HTML/CSS;JavaScript;Node.js;SQL
505,HTML/CSS;JavaScript;PHP;PowerShell;SQL
506,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;Rust;SQL;TypeScript
507,Scala;SQL;TypeScript
508,Bash/Shell;C;C++;Java;JavaScript;Matlab;Node.js;PowerShell;Python
509,Java;Matlab;Python;SQL
510,HTML/CSS;JavaScript;PHP;Python;SQL
511,Bash/Shell;Haskell;Rust
512,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Julia;LISP;Python;R;Rust;SQL
513,C;Java;Kotlin
514,Java;Scala;SQL;VBA
515,C#;HTML/CSS;JavaScript;SQL
516,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript
517,C;C#;Crystal;JavaScript;PHP;PowerShell;Python;SQL;VBA
518,Assembly;Bash/Shell;C;C++;Dart;HTML/CSS;Java;JavaScript;Matlab;Node.js;PHP;Python;SQL
519,Bash/Shell;Go;JavaScript;Node.js;PHP;SQL;Swift;TypeScript
520,HTML/CSS;JavaScript;Python;SQL
521,Bash/Shell;C
522,Java
